HoY,Date,Start Time,RGen1,RGen2,RGen3,RGen4,
1,01-Jan,00:00,0.0,0.0,0.0,,
1,01-Jan,00:00,0.0,0.0,0.0,,
2,01-Jan,01:00,0.0,0.0,0.0,,
2,01-Jan,01:00,0.0,0.0,0.0,,
3,01-Jan,02:00,0.0,0.0,0.0,,
3,01-Jan,02:00,0.0,0.0,0.0,,
4,01-Jan,03:00,0.0,0.0,0.0,,
4,01-Jan,03:00,0.0,0.0,0.0,,
5,01-Jan,04:00,0.0,0.0,0.0,,
5,01-Jan,04:00,0.0,0.0,0.0,,
6,01-Jan,05:00,0.0,0.0,0.0,,
6,01-Jan,05:00,0.0,0.0,0.0,,
7,01-Jan,06:00,0.0,0.0,0.0,,
7,01-Jan,06:00,0.0,0.0,0.0,,
8,01-Jan,07:00,0.0,0.0,0.0,,
8,01-Jan,07:00,0.0,0.0,0.0,,
9,01-Jan,08:00,0.0015,0.0025,0.001,,
9,01-Jan,08:00,0.0015,0.0025,0.001,,
10,01-Jan,09:00,0.0175,0.0175,0.0135,,
10,01-Jan,09:00,0.0175,0.0175,0.0135,,
11,01-Jan,10:00,0.0275,0.024,0.022,,
11,01-Jan,10:00,0.0275,0.024,0.022,,
12,01-Jan,11:00,0.0345,0.029,0.028,,
12,01-Jan,11:00,0.0345,0.029,0.028,,
13,01-Jan,12:00,0.0285,0.023,0.023,,
13,01-Jan,12:00,0.0285,0.023,0.023,,
14,01-Jan,13:00,0.017,0.013,0.014,,
14,01-Jan,13:00,0.017,0.013,0.014,,
15,01-Jan,14:00,0.009,0.0065,0.007,,
15,01-Jan,14:00,0.009,0.0065,0.007,,
16,01-Jan,15:00,0.001,0.0005,0.0005,,
16,01-Jan,15:00,0.001,0.0005,0.0005,,
17,01-Jan,16:00,0.0,0.0,0.0,,
17,01-Jan,16:00,0.0,0.0,0.0,,
18,01-Jan,17:00,0.0,0.0,0.0,,
18,01-Jan,17:00,0.0,0.0,0.0,,
19,01-Jan,18:00,0.0,0.0,0.0,,
19,01-Jan,18:00,0.0,0.0,0.0,,
20,01-Jan,19:00,0.0,0.0,0.0,,
20,01-Jan,19:00,0.0,0.0,0.0,,
21,01-Jan,20:00,0.0,0.0,0.0,,
21,01-Jan,20:00,0.0,0.0,0.0,,
22,01-Jan,21:00,0.0,0.0,0.0,,
22,01-Jan,21:00,0.0,0.0,0.0,,
23,01-Jan,22:00,0.0,0.0,0.0,,
23,01-Jan,22:00,0.0,0.0,0.0,,
24,01-Jan,23:00,0.0,0.0,0.0,,
24,01-Jan,23:00,0.0,0.0,0.0,,
25,02-Jan,00:00,0.0,0.0,0.0,,
25,02-Jan,00:00,0.0,0.0,0.0,,
26,02-Jan,01:00,0.0,0.0,0.0,,
26,02-Jan,01:00,0.0,0.0,0.0,,
27,02-Jan,02:00,0.0,0.0,0.0,,
27,02-Jan,02:00,0.0,0.0,0.0,,
28,02-Jan,03:00,0.0,0.0,0.0,,
28,02-Jan,03:00,0.0,0.0,0.0,,
29,02-Jan,04:00,0.0,0.0,0.0,,
29,02-Jan,04:00,0.0,0.0,0.0,,
30,02-Jan,05:00,0.0,0.0,0.0,,
30,02-Jan,05:00,0.0,0.0,0.0,,
31,02-Jan,06:00,0.0,0.0,0.0,,
31,02-Jan,06:00,0.0,0.0,0.0,,
32,02-Jan,07:00,0.0,0.0,0.0,,
