HoY,Date,Start Time,FixLoad1,FixLoad2,Flex Load3,Mop Load4
1,01-Jan,00:00,11.7152987,0.0,NA,NA
1,01-Jan,00:00,11.7152987,0.0,NA,NA
2,01-Jan,01:00,11.7152987,3.15,NA,NA
2,01-Jan,01:00,11.7152987,3.15,NA,NA
3,01-Jan,02:00,7.810199135,3.15,NA,NA
3,01-Jan,02:00,7.810199135,3.15,NA,NA
4,01-Jan,03:00,7.810199135,3.15,NA,NA
4,01-Jan,03:00,7.810199135,3.15,NA,NA
5,01-Jan,04:00,7.810199135,3.15,NA,NA
5,01-Jan,04:00,7.810199135,3.15,NA,NA
6,01-Jan,05:00,7.810199135,3.15,NA,NA
6,01-Jan,05:00,7.810199135,3.15,NA,NA
7,01-Jan,06:00,11.7152987,0.0,NA,NA
7,01-Jan,06:00,11.7152987,0.0,NA,NA
8,01-Jan,07:00,11.7152987,0.0,NA,NA
8,01-Jan,07:00,11.7152987,0.0,NA,NA
9,01-Jan,08:00,27.335696965,0.0,NA,NA
9,01-Jan,08:00,27.335696965,0.0,NA,NA
10,01-Jan,09:00,19.52549783,0.0,NA,NA
10,01-Jan,09:00,19.52549783,0.0,NA,NA
11,01-Jan,10:00,19.52549783,0.0,NA,NA
11,01-Jan,10:00,19.52549783,0.0,NA,NA
12,01-Jan,11:00,11.7152987,0.0,NA,NA
12,01-Jan,11:00,11.7152987,0.0,NA,NA
13,01-Jan,12:00,31.24079653,9.9,NA,NA
13,01-Jan,12:00,31.24079653,9.9,NA,NA
14,01-Jan,13:00,31.24079653,3.677142857,NA,NA
14,01-Jan,13:00,31.24079653,3.677142857,NA,NA
15,01-Jan,14:00,19.52549783,0.0,NA,NA
15,01-Jan,14:00,19.52549783,0.0,NA,NA
16,01-Jan,15:00,11.7152987,0.0,NA,NA
16,01-Jan,15:00,11.7152987,0.0,NA,NA
17,01-Jan,16:00,11.7152987,0.0,NA,NA
17,01-Jan,16:00,11.7152987,0.0,NA,NA
18,01-Jan,17:00,23.4305974,0.0,NA,NA
18,01-Jan,17:00,23.4305974,0.0,NA,NA
19,01-Jan,18:00,35.145896095,9.9,NA,NA
19,01-Jan,18:00,35.145896095,9.9,NA,NA
20,01-Jan,19:00,35.145896095,3.677142857,NA,NA
20,01-Jan,19:00,35.145896095,3.677142857,NA,NA
21,01-Jan,20:00,39.050995665,0.0,NA,NA
21,01-Jan,20:00,39.050995665,0.0,NA,NA
22,01-Jan,21:00,31.24079653,0.0,NA,NA
22,01-Jan,21:00,31.24079653,0.0,NA,NA
23,01-Jan,22:00,31.24079653,0.0,NA,NA
23,01-Jan,22:00,31.24079653,0.0,NA,NA
24,01-Jan,23:00,19.52549783,0.0,NA,NA
24,01-Jan,23:00,19.52549783,0.0,NA,NA
25,02-Jan,00:00,10.413598845,0.0,NA,NA
25,02-Jan,00:00,10.413598845,0.0,NA,NA
26,02-Jan,01:00,10.413598845,2.8,NA,NA
26,02-Jan,01:00,10.413598845,2.8,NA,NA
27,02-Jan,02:00,6.94239923,2.8,NA,NA
27,02-Jan,02:00,6.94239923,2.8,NA,NA
28,02-Jan,03:00,6.94239923,2.8,NA,NA
28,02-Jan,03:00,6.94239923,2.8,NA,NA
29,02-Jan,04:00,6.94239923,2.8,NA,NA
29,02-Jan,04:00,6.94239923,2.8,NA,NA
30,02-Jan,05:00,6.94239923,2.8,NA,NA
30,02-Jan,05:00,6.94239923,2.8,NA,NA
31,02-Jan,06:00,10.413598845,0.0,NA,NA
31,02-Jan,06:00,10.413598845,0.0,NA,NA
32,02-Jan,07:00,10.413598845,0.0,NA,NA
32,02-Jan,07:00,10.413598845,0.0,NA,NA
33,02-Jan,08:00,24.2983973,0.0,NA,NA
33,02-Jan,08:00,24.2983973,0.0,NA,NA
34,02-Jan,09:00,17.35599807,0.0,NA,NA
34,02-Jan,09:00,17.35599807,0.0,NA,NA
35,02-Jan,10:00,17.35599807,0.0,NA,NA
35,02-Jan,10:00,17.35599807,0.0,NA,NA
36,02-Jan,11:00,10.413598845,0.0,NA,NA
36,02-Jan,11:00,10.413598845,0.0,NA,NA
37,02-Jan,12:00,27.769596915,8.8,NA,NA
37,02-Jan,12:00,27.769596915,8.8,NA,NA
38,02-Jan,13:00,27.769596915,3.2685714285,NA,NA
38,02-Jan,13:00,27.769596915,3.2685714285,NA,NA
39,02-Jan,14:00,17.35599807,0.0,NA,NA
39,02-Jan,14:00,17.35599807,0.0,NA,NA
40,02-Jan,15:00,10.413598845,0.0,NA,NA
40,02-Jan,15:00,10.413598845,0.0,NA,NA
41,02-Jan,16:00,10.413598845,0.0,NA,NA
41,02-Jan,16:00,10.413598845,0.0,NA,NA
42,02-Jan,17:00,20.827197685,0.0,NA,NA
42,02-Jan,17:00,20.827197685,0.0,NA,NA
43,02-Jan,18:00,31.24079653,8.8,NA,NA
43,02-Jan,18:00,31.24079653,8.8,NA,NA
44,02-Jan,19:00,31.24079653,3.2685714285,NA,NA
44,02-Jan,19:00,31.24079653,3.2685714285,NA,NA
45,02-Jan,20:00,34.711996145,0.0,NA,NA
45,02-Jan,20:00,34.711996145,0.0,NA,NA
46,02-Jan,21:00,27.769596915,0.0,NA,NA
