HoY,Date,Start Time,HLoad1,HLoad2,HLoad3,HLoad4,
1,01-Jan,00:00,31.294492095,,,,
1,01-Jan,00:00,31.294492095,,,,
2,01-Jan,01:00,31.398570065,,,,
2,01-Jan,01:00,31.398570065,,,,
3,01-Jan,02:00,31.756644545,,,,
3,01-Jan,02:00,31.756644545,,,,
4,01-Jan,03:00,32.23148163,,,,
4,01-Jan,03:00,32.23148163,,,,
5,01-Jan,04:00,32.545533845,,,,
5,01-Jan,04:00,32.545533845,,,,
6,01-Jan,05:00,32.68633091,,,,
6,01-Jan,05:00,32.68633091,,,,
7,01-Jan,06:00,32.498920285,,,,
7,01-Jan,06:00,32.498920285,,,,
8,01-Jan,07:00,32.48953171,,,,
8,01-Jan,07:00,32.48953171,,,,
9,01-Jan,08:00,32.16590118,,,,
9,01-Jan,08:00,32.16590118,,,,
10,01-Jan,09:00,30.06431288,,,,
10,01-Jan,09:00,30.06431288,,,,
11,01-Jan,10:00,28.85000239,,,,
11,01-Jan,10:00,28.85000239,,,,
12,01-Jan,11:00,28.104985995,,,,
12,01-Jan,11:00,28.104985995,,,,
13,01-Jan,12:00,27.744391345,,,,
13,01-Jan,12:00,27.744391345,,,,
14,01-Jan,13:00,27.85935991,,,,
14,01-Jan,13:00,27.85935991,,,,
15,01-Jan,14:00,28.34399456,,,,
15,01-Jan,14:00,28.34399456,,,,
16,01-Jan,15:00,29.076861705,,,,
16,01-Jan,15:00,29.076861705,,,,
17,01-Jan,16:00,29.53016563,,,,
17,01-Jan,16:00,29.53016563,,,,
18,01-Jan,17:00,29.514716335,,,,
18,01-Jan,17:00,29.514716335,,,,
19,01-Jan,18:00,29.52271422,,,,
19,01-Jan,18:00,29.52271422,,,,
20,01-Jan,19:00,30.07900371,,,,
20,01-Jan,19:00,30.07900371,,,,
21,01-Jan,20:00,31.5908988,,,,
21,01-Jan,20:00,31.5908988,,,,
22,01-Jan,21:00,33.78957081,,,,
22,01-Jan,21:00,33.78957081,,,,
23,01-Jan,22:00,35.021694775,,,,
23,01-Jan,22:00,35.021694775,,,,
24,01-Jan,23:00,35.258254895,,,,
24,01-Jan,23:00,35.258254895,,,,
25,02-Jan,00:00,35.54936006,,,,
25,02-Jan,00:00,35.54936006,,,,
26,02-Jan,01:00,36.09599228,,,,
26,02-Jan,01:00,36.09599228,,,,
27,02-Jan,02:00,36.721751795,,,,
27,02-Jan,02:00,36.721751795,,,,
28,02-Jan,03:00,37.21964881,,,,
28,02-Jan,03:00,37.21964881,,,,
29,02-Jan,04:00,38.540839815,,,,
29,02-Jan,04:00,38.540839815,,,,
30,02-Jan,05:00,38.7148518,,,,
30,02-Jan,05:00,38.7148518,,,,
31,02-Jan,06:00,39.68927239,,,,
31,02-Jan,06:00,39.68927239,,,,
32,02-Jan,07:00,39.82365468,,,,
32,02-Jan,07:00,39.82365468,,,,
33,02-Jan,08:00,39.972164605,,,,
33,02-Jan,08:00,39.972164605,,,,
34,02-Jan,09:00,38.7216018,,,,
34,02-Jan,09:00,38.7216018,,,,
35,02-Jan,10:00,36.958602145,,,,
35,02-Jan,10:00,36.958602145,,,,
36,02-Jan,11:00,35.331188845,,,,
36,02-Jan,11:00,35.331188845,,,,
37,02-Jan,12:00,34.17782482,,,,
37,02-Jan,12:00,34.17782482,,,,
38,02-Jan,13:00,33.74099148,,,,
38,02-Jan,13:00,33.74099148,,,,
39,02-Jan,14:00,34.61758753,,,,
39,02-Jan,14:00,34.61758753,,,,
40,02-Jan,15:00,37.49525235,,,,
40,02-Jan,15:00,37.49525235,,,,
41,02-Jan,16:00,39.87139486,,,,
41,02-Jan,16:00,39.87139486,,,,
42,02-Jan,17:00,40.666087545,,,,
42,02-Jan,17:00,40.666087545,,,,
43,02-Jan,18:00,41.1342948,,,,
43,02-Jan,18:00,41.1342948,,,,
44,02-Jan,19:00,41.434864835,,,,
44,02-Jan,19:00,41.434864835,,,,
45,02-Jan,20:00,41.632695205,,,,
45,02-Jan,20:00,41.632695205,,,,
46,02-Jan,21:00,41.681620785,,,,
46,02-Jan,21:00,41.681620785,,,,
47,02-Jan,22:00,41.89907159,,,,
47,02-Jan,22:00,41.89907159,,,,
48,02-Jan,23:00,42.05045905,,,,
48,02-Jan,23:00,42.05045905,,,,
49,03-Jan,00:00,42.353647795,,,,
49,03-Jan,00:00,42.353647795,,,,
50,03-Jan,01:00,46.170797655,,,,
50,03-Jan,01:00,46.170797655,,,,
51,03-Jan,02:00,46.901361825,,,,
51,03-Jan,02:00,46.901361825,,,,
52,03-Jan,03:00,47.35556807,,,,
52,03-Jan,03:00,47.35556807,,,,
53,03-Jan,04:00,47.59101493,,,,
53,03-Jan,04:00,47.59101493,,,,
54,03-Jan,05:00,47.79083735,,,,
54,03-Jan,05:00,47.79083735,,,,
55,03-Jan,06:00,47.930111845,,,,
55,03-Jan,06:00,47.930111845,,,,
56,03-Jan,07:00,47.97665497,,,,
56,03-Jan,07:00,47.97665497,,,,
57,03-Jan,08:00,47.624650305,,,,
57,03-Jan,08:00,47.624650305,,,,
58,03-Jan,09:00,45.035495475,,,,
58,03-Jan,09:00,45.035495475,,,,
59,03-Jan,10:00,42.727297415,,,,
59,03-Jan,10:00,42.727297415,,,,
60,03-Jan,11:00,41.121468785,,,,
60,03-Jan,11:00,41.121468785,,,,
61,03-Jan,12:00,40.10020118,,,,
61,03-Jan,12:00,40.10020118,,,,
62,03-Jan,13:00,40.251686145,,,,
62,03-Jan,13:00,40.251686145,,,,
63,03-Jan,14:00,41.620462195,,,,
63,03-Jan,14:00,41.620462195,,,,
64,03-Jan,15:00,44.85077665,,,,
64,03-Jan,15:00,44.85077665,,,,
65,03-Jan,16:00,47.38568174,,,,
65,03-Jan,16:00,47.38568174,,,,
66,03-Jan,17:00,48.204844955,,,,
66,03-Jan,17:00,48.204844955,,,,
67,03-Jan,18:00,48.733903515,,,,
67,03-Jan,18:00,48.733903515,,,,
68,03-Jan,19:00,49.078550155,,,,
68,03-Jan,19:00,49.078550155,,,,
69,03-Jan,20:00,49.307269365,,,,
69,03-Jan,20:00,49.307269365,,,,
70,03-Jan,21:00,49.43652617,,,,
70,03-Jan,21:00,49.43652617,,,,
71,03-Jan,22:00,49.613746265,,,,
71,03-Jan,22:00,49.613746265,,,,
72,03-Jan,23:00,49.75031152,,,,
72,03-Jan,23:00,49.75031152,,,,
73,04-Jan,00:00,49.15467313,,,,
73,04-Jan,00:00,49.15467313,,,,
74,04-Jan,01:00,48.11458378,,,,
74,04-Jan,01:00,48.11458378,,,,
75,04-Jan,02:00,48.30674066,,,,
75,04-Jan,02:00,48.30674066,,,,
76,04-Jan,03:00,49.619073355,,,,
76,04-Jan,03:00,49.619073355,,,,
77,04-Jan,04:00,50.3535482,,,,
77,04-Jan,04:00,50.3535482,,,,
78,04-Jan,05:00,50.4482941,,,,
78,04-Jan,05:00,50.4482941,,,,
79,04-Jan,06:00,50.2590333,,,,
79,04-Jan,06:00,50.2590333,,,,
80,04-Jan,07:00,50.15391315,,,,
80,04-Jan,07:00,50.15391315,,,,
81,04-Jan,08:00,49.555821435,,,,
81,04-Jan,08:00,49.555821435,,,,
82,04-Jan,09:00,47.030555005,,,,
82,04-Jan,09:00,47.030555005,,,,
83,04-Jan,10:00,45.33524215,,,,
83,04-Jan,10:00,45.33524215,,,,
84,04-Jan,11:00,43.894658585,,,,
84,04-Jan,11:00,43.894658585,,,,
85,04-Jan,12:00,42.1499163,,,,
85,04-Jan,12:00,42.1499163,,,,
86,04-Jan,13:00,41.967357335,,,,
86,04-Jan,13:00,41.967357335,,,,
87,04-Jan,14:00,43.54993395,,,,
87,04-Jan,14:00,43.54993395,,,,
88,04-Jan,15:00,46.365521985,,,,
88,04-Jan,15:00,46.365521985,,,,
89,04-Jan,16:00,47.93995222,,,,
89,04-Jan,16:00,47.93995222,,,,
90,04-Jan,17:00,48.167514485,,,,
90,04-Jan,17:00,48.167514485,,,,
91,04-Jan,18:00,48.34225991,,,,
91,04-Jan,18:00,48.34225991,,,,
92,04-Jan,19:00,48.44937494,,,,
92,04-Jan,19:00,48.44937494,,,,
