Scaled RGen_total,Total_scaled_target_load,Total load minus Rgen (ESUM),ESS_available_discharge_power,ESS_available_charge_power ,TS_ESS_Rgen_only_charge_vect ,TS_ESS_discharge_vect ,TS_ESS_charge_vect ,TS_ESS_Rgen_only_charge ,TS_ESS_resulting_SoC ,Pre_grid_balance,Grid Import,Grid Export,Post_grid_balance,Pre_flex_import_shortfall,Pre_mop_curtailed Export,Actual import shortfall,Actual curtailed export,Actual high priority load,Actual low priority load,Heat load,Scaled Heat load,Electrical load scaled heat,Heat shortfall,Heat surplus,Calculative execution time (s),Parameter index,Annualised cost,Project CAPEX,Scenario Balance (£),Payback horizon (yrs),Scenario Carbon Balance (kgC02e)
879092,841275,-37820.7,1.13242e+06,2.14816e+06,259221,223351,259221,259221,2.24359e+06,-1950.95,284896,118940,-167904,12872.2,180776,1481.17,4619.32,426609,176157,366667,366667,319956,122461,75750.4,0.0250974,3,49210.4,704875,175245,4.02222,231269
879092,841275,-37820.7,1.10406e+06,2.13031e+06,249002,214543,249002,249002,2.13021e+06,-3361.58,293704,120979,-176084,12872.2,188957,1481.17,5738.34,426609,183218,366667,366667,319956,122461,75750.4,0.0258249,1,47885.1,688155,174987,3.9326,231913
879092,841275,-37820.7,1.86684e+06,2.14816e+06,259221,223351,259221,259221,2.24359e+06,-1950.95,284896,118940,-167904,12872.2,180776,1481.17,4619.32,426609,176157,366667,366667,319956,122461,75750.4,0.0224438,15,53285.4,746125,171170,4.35896,231269
879092,841275,-37820.7,1.84167e+06,2.13934e+06,254133,218966,254133,254133,2.18684e+06,-2653.2,289282,119931,-172001,12872.2,184873,1481.17,5152.7,426609,179720,366667,366667,319956,122461,75750.4,0.0217241,14,52622.7,737765,171050,4.31316,231598
879092,841275,-37820.7,1.11838e+06,2.13934e+06,254133,218966,254133,254133,2.18684e+06,-2653.2,289282,119931,-172001,12872.2,184873,1481.17,5152.7,426609,179720,366667,366667,319956,122461,75750.4,0.0210267,2,48547.7,696515,175125,3.97725,231598
879092,841275,-37820.7,1.84512e+06,4.01245e+06,254177,219003,254177,254177,2.19883e+06,-2647.13,289244,110892,-180997,12872.2,193869,1481.17,7015.29,426609,186854,366667,366667,319956,122461,75750.4,0.0204124,20,52622.7,737765,171576,4.29993,231854
879092,841275,-37820.7,1.17619e+06,2.17429e+06,274120,236194,274120,274120,2.41515e+06,104.852,272054,116137,-155809,12872.2,168681,1481.17,3347.86,426609,165333,366667,366667,319956,122461,75750.4,0.0177764,6,51198.4,729955,175503,4.15922,230222
879092,841275,-37820.7,1.13253e+06,4.03008e+06,259265,223389,259265,259265,2.25702e+06,-1944.91,284859,109022,-177780,12872.2,190652,1481.17,6870.09,426609,183782,366667,366667,319956,122461,75750.4,0.0210305,9,53285.4,746125,171719,4.34503,231496
879092,841275,-37820.7,1.17631e+06,4.08212e+06,274164,236233,274164,274164,2.4332e+06,111.094,272016,103339,-168562,12872.2,181434,1481.17,6179.58,426609,175255,366667,366667,319956,122461,75750.4,0.0234898,12,55273.4,771205,172144,4.47999,230535
879092,841275,-37820.7,1.11849e+06,4.01245e+06,254177,219003,254177,254177,2.19883e+06,-2647.13,289244,110892,-180997,12872.2,193869,1481.17,7015.29,426609,186854,366667,366667,319956,122461,75750.4,0.026472,8,52622.7,737765,171576,4.29993,231854
