Scaled RGen_total,Total_scaled_target_load,Total load minus Rgen (ESUM),ESS_available_discharge_power,ESS_available_charge_power ,TS_ESS_Rgen_only_charge_vect ,TS_ESS_discharge_vect ,TS_ESS_charge_vect ,TS_ESS_Rgen_only_charge ,TS_ESS_resulting_SoC ,Pre_grid_balance,Grid Import,Grid Export,Post_grid_balace,Pre_flex_import_shortfall,Pre_mop_curtailed Export,Actual import shortfall,Actual curtailed export,Actual high priority load,Actual low priority load,Heat load,Scaled Heat load,Electrical load scaled heat,Heat shortfall,Heat surplus,Calculative execution time (s),Parameter index
0,1.1949e+06,1.1949e+06,886.907,3.19704e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0051342,14
0,1.1949e+06,1.1949e+06,886.907,3.32842e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0038424,17
0,1.1949e+06,1.1949e+06,886.907,3.15324e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0006903,13
0,1.1949e+06,1.1949e+06,886.907,3.59119e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0049342,23
0,1.1949e+06,1.1949e+06,886.907,2.75908e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0036795,4
0,1.1949e+06,1.1949e+06,886.907,3.24083e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0007017,15
0,1.1949e+06,1.1949e+06,886.907,2.93426e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0056318,8
0,1.1949e+06,1.1949e+06,886.907,2.6715e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0068954,2
0,1.1949e+06,1.1949e+06,886.907,3.02186e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0077856,10
0,1.1949e+06,1.1949e+06,886.907,2.84668e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0042937,6
