HoY,Date,Start Time,RGen1,RGen2,RGen3,RGen4
1,01-Jan,00:00,0,0,0,
2,01-Jan,00:30,0,0,0,
3,01-Jan,01:00,0,0,0,
4,01-Jan,01:30,0,0,0,
5,01-Jan,02:00,0,0,0,
6,01-Jan,02:30,0,0,0,
7,01-Jan,03:00,0,0,0,
8,01-Jan,03:30,0,0,0,
9,01-Jan,04:00,0,0,0,
10,01-Jan,04:30,0,0,0,
11,01-Jan,05:00,0,0,0,
12,01-Jan,05:30,0,0,0,
13,01-Jan,06:00,0,0,0,
14,01-Jan,06:30,0,0,0,
15,01-Jan,07:00,0,0,0,
16,01-Jan,07:30,0,0,0,
17,01-Jan,08:00,0.0015,0.0025,0.001,
18,01-Jan,08:30,0.0015,0.0025,0.001,
19,01-Jan,09:00,0.0175,0.0175,0.0135,
20,01-Jan,09:30,0.0175,0.0175,0.0135,
21,01-Jan,10:00,0.0275,0.024,0.022,
22,01-Jan,10:30,0.0275,0.024,0.022,
23,01-Jan,11:00,0.0345,0.029,0.028,
24,01-Jan,11:30,0.0345,0.029,0.028,
25,01-Jan,12:00,0.0285,0.023,0.023,
26,01-Jan,12:30,0.0285,0.023,0.023,
27,01-Jan,13:00,0.017,0.013,0.014,
28,01-Jan,13:30,0.017,0.013,0.014,
29,01-Jan,14:00,0.009,0.0065,0.007,
30,01-Jan,14:30,0.009,0.0065,0.007,
31,01-Jan,15:00,0.001,0.0005,0.0005,
32,01-Jan,15:30,0.001,0.0005,0.0005,
33,01-Jan,16:00,0,0,0,
34,01-Jan,16:30,0,0,0,
35,01-Jan,17:00,0,0,0,
36,01-Jan,17:30,0,0,0,
37,01-Jan,18:00,0,0,0,
38,01-Jan,18:30,0,0,0,
39,01-Jan,19:00,0,0,0,
40,01-Jan,19:30,0,0,0,
41,01-Jan,20:00,0,0,0,
42,01-Jan,20:30,0,0,0,
43,01-Jan,21:00,0,0,0,
44,01-Jan,21:30,0,0,0,
45,01-Jan,22:00,0,0,0,
46,01-Jan,22:30,0,0,0,
47,01-Jan,23:00,0,0,0,
48,01-Jan,23:30,0,0,0,
49,02-Jan,00:00,0,0,0,
50,02-Jan,00:30,0,0,0,
51,02-Jan,01:00,0,0,0,
52,02-Jan,01:30,0,0,0,
53,02-Jan,02:00,0,0,0,
54,02-Jan,02:30,0,0,0,
55,02-Jan,03:00,0,0,0,
56,02-Jan,03:30,0,0,0,
57,02-Jan,04:00,0,0,0,
58,02-Jan,04:30,0,0,0,
59,02-Jan,05:00,0,0,0,
60,02-Jan,05:30,0,0,0,
61,02-Jan,06:00,0,0,0,
62,02-Jan,06:30,0,0,0,
63,02-Jan,07:00,0,0,0,
64,02-Jan,07:30,0,0,0,
65,02-Jan,08:00,0.008,0.018,0.005,
66,02-Jan,08:30,0.008,0.018,0.005,
67,02-Jan,09:00,0.077,0.126,0.0655,
68,02-Jan,09:30,0.077,0.126,0.0655,
69,02-Jan,10:00,0.1915,0.276,0.1925,
70,02-Jan,10:30,0.1915,0.276,0.1925,
71,02-Jan,11:00,0.253,0.324,0.284,
72,02-Jan,11:30,0.253,0.324,0.284,
73,02-Jan,12:00,0.2565,0.2955,0.3155,
74,02-Jan,12:30,0.2565,0.2955,0.3155,
75,02-Jan,13:00,0.2245,0.231,0.306,
76,02-Jan,13:30,0.2245,0.231,0.306,
77,02-Jan,14:00,0.15,0.1325,0.2335,
78,02-Jan,14:30,0.15,0.1325,0.2335,
79,02-Jan,15:00,0.0455,0.031,0.087,
80,02-Jan,15:30,0.0455,0.031,0.087,
81,02-Jan,16:00,0,0,0,
82,02-Jan,16:30,0,0,0,
83,02-Jan,17:00,0,0,0,
84,02-Jan,17:30,0,0,0,
85,02-Jan,18:00,0,0,0,
86,02-Jan,18:30,0,0,0,
87,02-Jan,19:00,0,0,0,
88,02-Jan,19:30,0,0,0,
89,02-Jan,20:00,0,0,0,
90,02-Jan,20:30,0,0,0,
91,02-Jan,21:00,0,0,0,
92,02-Jan,21:30,0,0,0,
93,02-Jan,22:00,0,0,0,
94,02-Jan,22:30,0,0,0,
95,02-Jan,23:00,0,0,0,
96,02-Jan,23:30,0,0,0,
97,03-Jan,00:00,0,0,0,
98,03-Jan,00:30,0,0,0,
99,03-Jan,01:00,0,0,0,
100,03-Jan,01:30,0,0,0,
101,03-Jan,02:00,0,0,0,
102,03-Jan,02:30,0,0,0,
103,03-Jan,03:00,0,0,0,
104,03-Jan,03:30,0,0,0,
105,03-Jan,04:00,0,0,0,
106,03-Jan,04:30,0,0,0,
107,03-Jan,05:00,0,0,0,
108,03-Jan,05:30,0,0,0,
109,03-Jan,06:00,0,0,0,
110,03-Jan,06:30,0,0,0,
111,03-Jan,07:00,0,0,0,
112,03-Jan,07:30,0,0,0,
113,03-Jan,08:00,0.011,0.026,0.007,
114,03-Jan,08:30,0.011,0.026,0.007,
115,03-Jan,09:00,0.0945,0.159,0.081,
116,03-Jan,09:30,0.0945,0.159,0.081,
117,03-Jan,10:00,0.177,0.253,0.1765,
118,03-Jan,10:30,0.177,0.253,0.1765,
119,03-Jan,11:00,0.218,0.276,0.2415,
120,03-Jan,11:30,0.218,0.276,0.2415,
121,03-Jan,12:00,0.2365,0.27,0.288,
122,03-Jan,12:30,0.2365,0.27,0.288,
123,03-Jan,13:00,0.216,0.2215,0.2925,
124,03-Jan,13:30,0.216,0.2215,0.2925,
125,03-Jan,14:00,0.1495,0.132,0.231,
126,03-Jan,14:30,0.1495,0.132,0.231,
127,03-Jan,15:00,0.0505,0.034,0.097,
128,03-Jan,15:30,0.0505,0.034,0.097,
129,03-Jan,16:00,0,0,0,
130,03-Jan,16:30,0,0,0,
131,03-Jan,17:00,0,0,0,
132,03-Jan,17:30,0,0,0,
133,03-Jan,18:00,0,0,0,
134,03-Jan,18:30,0,0,0,
135,03-Jan,19:00,0,0,0,
136,03-Jan,19:30,0,0,0,
137,03-Jan,20:00,0,0,0,
138,03-Jan,20:30,0,0,0,
139,03-Jan,21:00,0,0,0,
140,03-Jan,21:30,0,0,0,
141,03-Jan,22:00,0,0,0,
142,03-Jan,22:30,0,0,0,
143,03-Jan,23:00,0,0,0,
144,03-Jan,23:30,0,0,0,
145,04-Jan,00:00,0,0,0,
146,04-Jan,00:30,0,0,0,
147,04-Jan,01:00,0,0,0,
148,04-Jan,01:30,0,0,0,
149,04-Jan,02:00,0,0,0,
150,04-Jan,02:30,0,0,0,
151,04-Jan,03:00,0,0,0,
152,04-Jan,03:30,0,0,0,
153,04-Jan,04:00,0,0,0,
154,04-Jan,04:30,0,0,0,
155,04-Jan,05:00,0,0,0,
156,04-Jan,05:30,0,0,0,
157,04-Jan,06:00,0,0,0,
158,04-Jan,06:30,0,0,0,
159,04-Jan,07:00,0,0,0,
160,04-Jan,07:30,0,0,0,
161,04-Jan,08:00,0.019,0.048,0.012,
162,04-Jan,08:30,0.019,0.048,0.012,
163,04-Jan,09:00,0.1265,0.2205,0.1095,
164,04-Jan,09:30,0.1265,0.2205,0.1095,
165,04-Jan,10:00,0.2115,0.3075,0.213,
166,04-Jan,10:30,0.2115,0.3075,0.213,
167,04-Jan,11:00,0.255,0.3265,0.285,
168,04-Jan,11:30,0.255,0.3265,0.285,
169,04-Jan,12:00,0.256,0.2945,0.3135,
170,04-Jan,12:30,0.256,0.2945,0.3135,
171,04-Jan,13:00,0.224,0.2305,0.304,
172,04-Jan,13:30,0.224,0.2305,0.304,
173,04-Jan,14:00,0.1475,0.13,0.2275,
174,04-Jan,14:30,0.1475,0.13,0.2275,
175,04-Jan,15:00,0.038,0.0255,0.0695,
176,04-Jan,15:30,0.038,0.0255,0.0695,
177,04-Jan,16:00,0,0,0,
178,04-Jan,16:30,0,0,0,
179,04-Jan,17:00,0,0,0,
180,04-Jan,17:30,0,0,0,
181,04-Jan,18:00,0,0,0,
182,04-Jan,18:30,0,0,0,
183,04-Jan,19:00,0,0,0,
184,04-Jan,19:30,0,0,0,
185,04-Jan,20:00,0,0,0,
186,04-Jan,20:30,0,0,0,
187,04-Jan,21:00,0,0,0,
188,04-Jan,21:30,0,0,0,
189,04-Jan,22:00,0,0,0,
190,04-Jan,22:30,0,0,0,
191,04-Jan,23:00,0,0,0,
192,04-Jan,23:30,0,0,0,
193,05-Jan,00:00,0,0,0,
194,05-Jan,00:30,0,0,0,
195,05-Jan,01:00,0,0,0,
196,05-Jan,01:30,0,0,0,
197,05-Jan,02:00,0,0,0,
198,05-Jan,02:30,0,0,0,
199,05-Jan,03:00,0,0,0,
200,05-Jan,03:30,0,0,0,
201,05-Jan,04:00,0,0,0,
202,05-Jan,04:30,0,0,0,
203,05-Jan,05:00,0,0,0,
204,05-Jan,05:30,0,0,0,
205,05-Jan,06:00,0,0,0,
206,05-Jan,06:30,0,0,0,
207,05-Jan,07:00,0,0,0,
208,05-Jan,07:30,0,0,0,
209,05-Jan,08:00,0.0275,0.0695,0.017,
210,05-Jan,08:30,0.0275,0.0695,0.017,
211,05-Jan,09:00,0.1495,0.264,0.1295,
212,05-Jan,09:30,0.1495,0.264,0.1295,
213,05-Jan,10:00,0.231,0.3375,0.2335,
214,05-Jan,10:30,0.231,0.3375,0.2335,
215,05-Jan,11:00,0.2715,0.3495,0.3045,
216,05-Jan,11:30,0.2715,0.3495,0.3045,
217,05-Jan,12:00,0.276,0.319,0.3395,
218,05-Jan,12:30,0.276,0.319,0.3395,
219,05-Jan,13:00,0.245,0.2535,0.334,
220,05-Jan,13:30,0.245,0.2535,0.334,
221,05-Jan,14:00,0.175,0.156,0.274,
222,05-Jan,14:30,0.175,0.156,0.274,
223,05-Jan,15:00,0.061,0.0415,0.119,
224,05-Jan,15:30,0.061,0.0415,0.119,
225,05-Jan,16:00,0,0,0,
226,05-Jan,16:30,0,0,0,
227,05-Jan,17:00,0,0,0,
228,05-Jan,17:30,0,0,0,
229,05-Jan,18:00,0,0,0,
230,05-Jan,18:30,0,0,0,
231,05-Jan,19:00,0,0,0,
232,05-Jan,19:30,0,0,0,
233,05-Jan,20:00,0,0,0,
234,05-Jan,20:30,0,0,0,
235,05-Jan,21:00,0,0,0,
236,05-Jan,21:30,0,0,0,
237,05-Jan,22:00,0,0,0,
238,05-Jan,22:30,0,0,0,
239,05-Jan,23:00,0,0,0,
240,05-Jan,23:30,0,0,0,
241,06-Jan,00:00,0,0,0,
242,06-Jan,00:30,0,0,0,
243,06-Jan,01:00,0,0,0,
244,06-Jan,01:30,0,0,0,
245,06-Jan,02:00,0,0,0,
246,06-Jan,02:30,0,0,0,
247,06-Jan,03:00,0,0,0,
248,06-Jan,03:30,0,0,0,
249,06-Jan,04:00,0,0,0,
250,06-Jan,04:30,0,0,0,
251,06-Jan,05:00,0,0,0,
252,06-Jan,05:30,0,0,0,
253,06-Jan,06:00,0,0,0,
254,06-Jan,06:30,0,0,0,
255,06-Jan,07:00,0,0,0,
256,06-Jan,07:30,0,0,0,
257,06-Jan,08:00,0,0,0,
258,06-Jan,08:30,0,0,0,
259,06-Jan,09:00,0.0085,0.007,0.006,
260,06-Jan,09:30,0.0085,0.007,0.006,
261,06-Jan,10:00,0.022,0.0185,0.017,
262,06-Jan,10:30,0.022,0.0185,0.017,
263,06-Jan,11:00,0.0275,0.0225,0.022,
264,06-Jan,11:30,0.0275,0.0225,0.022,
265,06-Jan,12:00,0.029,0.023,0.0235,
266,06-Jan,12:30,0.029,0.023,0.0235,
267,06-Jan,13:00,0.026,0.0205,0.0215,
268,06-Jan,13:30,0.026,0.0205,0.0215,
269,06-Jan,14:00,0.0105,0.008,0.0085,
270,06-Jan,14:30,0.0105,0.008,0.0085,
271,06-Jan,15:00,0.0025,0.0015,0.002,
272,06-Jan,15:30,0.0025,0.0015,0.002,
