HoY,Date,Start Time,Air-temp
1,01-Jan,00:00,9
2,01-Jan,01:00,9
3,01-Jan,02:00,8
4,01-Jan,03:00,8
5,01-Jan,04:00,8
6,01-Jan,05:00,8
7,01-Jan,06:00,8
8,01-Jan,07:00,8
9,01-Jan,08:00,8
10,01-Jan,09:00,8
11,01-Jan,10:00,8
12,01-Jan,11:00,9
13,01-Jan,12:00,10
14,01-Jan,13:00,10
15,01-Jan,14:00,10
16,01-Jan,15:00,10
17,01-Jan,16:00,9
18,01-Jan,17:00,9
19,01-Jan,18:00,8
20,01-Jan,19:00,7
21,01-Jan,20:00,6
22,01-Jan,21:00,5
23,01-Jan,22:00,6
24,01-Jan,23:00,6
25,02-Jan,00:00,6
26,02-Jan,01:00,5
27,02-Jan,02:00,5
28,02-Jan,03:00,5
29,02-Jan,04:00,4
30,02-Jan,05:00,4
31,02-Jan,06:00,4
32,02-Jan,07:00,4
33,02-Jan,08:00,3
34,02-Jan,09:00,3
35,02-Jan,10:00,4
36,02-Jan,11:00,4
37,02-Jan,12:00,5
38,02-Jan,13:00,5
39,02-Jan,14:00,5
40,02-Jan,15:00,5
41,02-Jan,16:00,4
42,02-Jan,17:00,4
43,02-Jan,18:00,3
44,02-Jan,19:00,3
45,02-Jan,20:00,2
46,02-Jan,21:00,2
47,02-Jan,22:00,2
48,02-Jan,23:00,2
49,03-Jan,00:00,2
50,03-Jan,01:00,2
51,03-Jan,02:00,2
52,03-Jan,03:00,2
53,03-Jan,04:00,2
54,03-Jan,05:00,1
55,03-Jan,06:00,1
56,03-Jan,07:00,1
57,03-Jan,08:00,1
58,03-Jan,09:00,1
59,03-Jan,10:00,2
60,03-Jan,11:00,3
61,03-Jan,12:00,5
62,03-Jan,13:00,5
63,03-Jan,14:00,5
64,03-Jan,15:00,5
65,03-Jan,16:00,4
66,03-Jan,17:00,3
67,03-Jan,18:00,3
68,03-Jan,19:00,2
69,03-Jan,20:00,2
70,03-Jan,21:00,2
71,03-Jan,22:00,2
72,03-Jan,23:00,2
73,04-Jan,00:00,2
74,04-Jan,01:00,2
75,04-Jan,02:00,2
76,04-Jan,03:00,2
77,04-Jan,04:00,2
78,04-Jan,05:00,2
79,04-Jan,06:00,1
80,04-Jan,07:00,1
81,04-Jan,08:00,1
82,04-Jan,09:00,2
83,04-Jan,10:00,3
84,04-Jan,11:00,4
85,04-Jan,12:00,5
86,04-Jan,13:00,5
87,04-Jan,14:00,5
88,04-Jan,15:00,5
89,04-Jan,16:00,4
90,04-Jan,17:00,3
91,04-Jan,18:00,3
92,04-Jan,19:00,3
93,04-Jan,20:00,2
94,04-Jan,21:00,2
95,04-Jan,22:00,2
96,04-Jan,23:00,2
97,05-Jan,00:00,2
98,05-Jan,01:00,2
99,05-Jan,02:00,2
100,05-Jan,03:00,1
101,05-Jan,04:00,1
102,05-Jan,05:00,1
103,05-Jan,06:00,1
104,05-Jan,07:00,1
105,05-Jan,08:00,2
106,05-Jan,09:00,2
107,05-Jan,10:00,3
108,05-Jan,11:00,5
109,05-Jan,12:00,6
110,05-Jan,13:00,6
111,05-Jan,14:00,6
112,05-Jan,15:00,6
113,05-Jan,16:00,6
114,05-Jan,17:00,6
115,05-Jan,18:00,6
116,05-Jan,19:00,6
117,05-Jan,20:00,6
118,05-Jan,21:00,6
119,05-Jan,22:00,6
120,05-Jan,23:00,6
121,06-Jan,00:00,6
122,06-Jan,01:00,6
123,06-Jan,02:00,7
124,06-Jan,03:00,7
125,06-Jan,04:00,7
126,06-Jan,05:00,7
127,06-Jan,06:00,7
128,06-Jan,07:00,7
129,06-Jan,08:00,7
130,06-Jan,09:00,8
131,06-Jan,10:00,8
132,06-Jan,11:00,9
133,06-Jan,12:00,10
